concept,gloss
aby,aby
adres,adres
adwokat,adwokat
afryka,Afryka
aktor,aktor
akurat,akurat
alarm,alarm
albo,albo; lub
ale,ale
aleja,droga; aleja; przejście; ulica
alfabet,alfabet
algieria,Algieria
alkohol,alkohol
ambasada,ambasada; ambasador
amsterdam,Amsterdam
analfabeta,analfabeta
angielski,angielski
anglia,Anglia
anioł,anioł
antena,antena
aparat słuchowy,aparat słuchowy
apteka,apteka
arabia,Arabia
arbuz,arbuz
argentyński,argentyński
atak,atak
atom,atom
australijczyk,Australijczyk
austria,Austria
auto,auto; samochód
autobus,autobus
automatyczny,automatyczny
autostrada,autostrada
azja,Azja
badanie,badanie
bajka,bajka
bakterie,bakterie
bal,bal
balkon,balkon
banan,banan
bandyta,bandyta
bank,bank
bar,restauracja; bar
baran,baran; owca
barcelona,Barcelona
bardzo,bardzo
basen,basen
bawić,bawić
bawić się,bawić się
bać się,bać się
bałagan,bałagan
berlin,Berlin
beton,beton
bez,bez
bez zmian,bez zmian; tak samo
bezpieczny,bezpieczny
bezrobotny,bezrobotny
bezskutecznie,bezskutecznie
białoruś,Białoruś
biały,biały
białystok,Białystok
biedny,biedny
biegać,biegać
bilet,bilet
biuro,biuro
biustonosz,biustonosz; stanik
bić,bić; uderzyć
blisko,blisko
blok,blok
bluzka,bluzka; bluza
bochnia,Bochnia
boczek,boczek
bogaty,bogaty
boisko,boisko
boks,boks
boleć,boleć
borsuk,borsuk
boże narodzenie,Boże Narodzenie
brak,brak
brakować,brakować
brakuje jednego,brakuje jednego
brama,brama
brat,brat; siostra; rodzeństwo
brazylia,Brazylia
breloczek,breloczek
broda,broda
broń (palna),broń (palna)
broń palna,broń palna
brudny,brudny
brzoskwinia,brzoskwinia
brzydki,brzydki
brązowy,brązowy
budowa,budowa
budzik,budzik
budżet,budżet
busko zdrój,Busko Zdrój
butelka,butelka
buty,buty
bydgoszcz,Bydgoszcz
być,być; jest
być przykro,być przykro
być rozrzutnym,wydawać; być rozrzutnym
był,był
bzdura,głupota; bzdura
ból głowy,ból głowy
bęben,bęben
będzie,będzie
błoto,błoto
błyskawica,błyskawica; piorun
błyszczący,błyszczący; połysk
błąd,błąd
całować,całować
całość,całość
cały czas,cały czas
cały dzień,cały dzień
cebula,cebula
centymetr,centymetr
chcieć,chcieć
chcieć (iść) do toalety,chcieć (iść) do toalety; chcieć (iść) do WC
chcieć spać,chcieć spać
chemia,chemia
chile,Chile
chiny,Chiny
chleb,chleb
chmura,chmura
chodzić,chodzić; uczęszczać
choinka,choinka
cholera,cholera
chorwacja,Chorwacja
chory,chory
chować,chować
chować się,chować się
chronić,chronić; ochraniać
chrzest,chrzest
chrześcijaństwo,chrześcijaństwo
chudy,chudy
chuligan,chuligan
chusta,chusta
chusteczka,chusteczka
chytry,chytry
chęstochowa,Chęstochowa
chłop,chłop
ciało,ciało; organizm
cicho,cicho
ciekawy,ciekawy; zainteresowany
ciemny,ciemny
cienki,cienki
ciepły,ciepły
cierpieć,cierpieć; męczyć się
ciocia,ciocia
ciągnąć,ciągnąć
ciąża,ciąża
ciężarówka,tir; ciężarówka
ciężki,ciężki
ciężko pracować,ciężko pracować
ciśnienie,ciśnienie
cmentarz,cmentarz
co,co
co miesiąc,co miesiąc; miesięcznie
co roku,co roku
co to jest,co to jest
co to jest?,co to jest?
co tydzień,co tydzień
coda,CODA
codziennie,codziennie
